GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
1628,intron,3.154580,1479,0.293782,0.179034,0.230457,0.296728,0.224070,1.000000,0.037116,0.098553,0.367103,0.080344
1629,intron,1.220736,1245,0.245183,0.174534,0.235024,0.345259,0.239843,1.000000,0.062374,0.133925,0.344536,0.075856
1630,intron,7.940448,496,0.322159,0.152980,0.217559,0.307302,0.338530,1.000000,0.050203,0.122473,0.323835,0.073119
1631,intron,5.465415,459,0.252349,0.215888,0.249499,0.282265,0.266219,1.000000,0.037766,0.116386,0.331770,0.080551
1632,intron,0.144956,621,0.240284,0.183739,0.242953,0.333024,0.331819,1.000000,0.039778,0.134729,0.301927,0.070345
1633,intron,0.353668,1285,0.230886,0.194403,0.244772,0.329939,0.276724,1.000000,0.042054,0.123677,0.326651,0.087729
1634,intron,2.638789,1190,0.258556,0.173763,0.214532,0.353149,0.239418,1.000000,0.050323,0.121048,0.268499,0.091625
1635,intron,5.647798,1118,0.278255,0.196829,0.235893,0.289023,0.221602,1.000000,0.045603,0.156805,0.302914,0.075119
1636,intron,5.686103,197,0.282191,0.184778,0.175362,0.357669,0.253821,1.000000,0.043047,0.120483,0.314336,0.079279
1637,intron,0.273943,474,0.281018,0.181390,0.205740,0.331852,0.264952,1.000000,0.059429,0.153863,0.285256,0.094736
1638,intron,8.019928,897,0.250073,0.217032,0.214383,0.318512,0.253324,1.000000,0.053222,0.121070,0.300280,0.064149
1639,intron,8.298204,1099,0.267566,0.207889,0.233020,0.291526,0.350734,1.000000,0.074728,0.118087,0.341332,0.056869
1640,intron,4.665449,253,0.302023,0.182042,0.234768,0.281167,0.212317,1.000000,0.043485,0.123734,0.329054,0.085714
1641,intron,0.969418,625,0.268053,0.173782,0.231473,0.326693,0.185669,1.000000,0.062413,0.100390,0.335477,0.077204
1642,intron,1.684183,562,0.192407,0.194329,0.189637,0.423628,0.300959,1.000000,0.059704,0.100611,0.320627,0.063468
1643,intron,5.825896,804,0.275457,0.188074,0.222426,0.314043,0.254002,1.000000,0.034764,0.094534,0.351977,0.069785
1644,intron,0.729164,947,0.267975,0.184306,0.257832,0.289887,0.296570,1.000000,0.049386,0.118222,0.330414,0.067154
1645,intron,1.131475,918,0.310126,0.117641,0.228747,0.343487,0.244147,1.000000,0.042312,0.097024,0.317536,0.063291
1646,intron,4.396975,596,0.257014,0.192384,0.193070,0.357532,0.318757,1.000000,0.049710,0.114119,0.292951,0.098159
1647,intron,1.056176,525,0.314743,0.223632,0.167071,0.294553,0.199634,1.000000,0.037643,0.124748,0.301419,0.086843
1648,intron,0.123575,585,0.251689,0.229852,0.227455,0.291005,0.249085,1.000000,0.043824,0.127003,0.322698,0.087639
1649,intron,2.828622,1209,0.286084,0.167712,0.200972,0.345232,0.209050,1.000000,0.051654,0.115534,0.290927,0.107580
1650,intron,0.446423,227,0.311081,0.172314,0.203478,0.313127,0.254971,1.000000,0.043991,0.171117,0.325995,0.062251
1651,intron,0.127465,347,0.291566,0.141877,0.227906,0.338651,0.288136,1.000000,0.047707,0.118419,0.343536,0.057735
1652,intron,5.612492,1037,0.218617,0.186983,0.258660,0.335740,0.201852,1.000000,0.070222,0.131568,0.298645,0.076860
1653,intron,1.705762,1598,0.359454,0.167561,0.193939,0.279046,0.254375,1.000000,0.044364,0.132633,0.342292,0.061510
1654,intron,0.892410,661,0.223955,0.213563,0.195523,0.366958,0.259962,1.000000,0.047212,0.144985,0.302550,0.074817
1655,intron,2.400468,1459,0.261151,0.176699,0.192639,0.369511,0.303908,1.000000,0.076066,0.118197,0.311693,0.088970
1656,intron,1.223818,1346,0.263482,0.196115,0.213382,0.327021,0.209633,1.000000,0.050682,0.151699,0.299796,0.101588
1657,intron,3.871211,1212,0.332850,0.177209,0.191674,0.298268,0.312139,1.000000,0.042473,0.106686,0.319455,0.062252
1658,intron,1.935601,1102,0.249379,0.185685,0.261802,0.303133,0.216534,1.000000,0.039922,0.101174,0.345095,0.073607
1659,intron,0.497406,312,0.272024,0.179640,0.181352,0.366984,0.239493,1.000000,0.050495,0.136930,0.322636,0.054922
1660,intron,4.759263,546,0.330373,0.187944,0.211797,0.269886,0.321010,1.000000,0.044986,0.112565,0.298829,0.082042
1661,intron,3.384989,1308,0.280925,0.204786,0.226434,0.287855,0.279658,1.000000,0.067853,0.089961,0.275135,0.080012
1662,intron,0.676744,947,0.280838,0.194845,0.182157,0.342160,0.320652,1.000000,0.065625,0.110685,0.306829,0.067866
1663,intron,1.626274,635,0.275701,0.184683,0.187510,0.352106,0.194506,1.000000,0.069343,0.148733,0.237794,0.085355
1664,intron,7.376926,901,0.285859,0.235981,0.183780,0.294380,0.251264,1.000000,0.056861,0.148901,0.299432,0.061446
1665,intron,1.826222,1347,0.254177,0.149644,0.206227,0.389952,0.216749,1.000000,0.041795,0.133117,0.328642,0.059791
1666,intron,1.393278,1383,0.304795,0.145852,0.186925,0.362427,0.296038,1.000000,0.065990,0.145120,0.272132,0.090799
1667,intron,5.369131,976,0.237459,0.182310,0.224457,0.355774,0.309479,1.000000,0.046427,0.113513,0.292492,0.074470
1668,intron,0.148360,472,0.247747,0.159860,0.211438,0.380955,0.295190,1.000000,0.048605,0.143978,0.295107,0.057414
1669,intron,2.454714,1018,0.297573,0.186549,0.198181,0.317697,0.252847,1.000000,0.042090,0.129699,0.364646,0.070036
1670,intron,0.447103,1353,0.274680,0.253308,0.156050,0.315961,0.317823,1.000000,0.043196,0.145340,0.305870,0.065973
1671,intron,0.329173,1037,0.300577,0.178590,0.236658,0.284175,0.304747,1.000000,0.070767,0.156806,0.306134,0.063711
1672,intron,0.523346,382,0.242452,0.184390,0.216056,0.357102,0.199011,1.000000,0.046741,0.148768,0.306940,0.057262
1673,intron,0.378456,1008,0.278985,0.193229,0.217674,0.310111,0.345810,1.000000,0.036085,0.153570,0.330429,0.065718
1674,intron,2.295937,1150,0.284484,0.176559,0.211984,0.326972,0.303625,1.000000,0.052487,0.121376,0.315374,0.071071
1675,intron,3.707222,741,0.258145,0.230112,0.208727,0.303016,0.266328,1.000000,0.059077,0.131944,0.281147,0.083834
1676,intron,0.661960,1041,0.243946,0.236627,0.204830,0.314597,0.256622,1.000000,0.056434,0.110935,0.328358,0.087225
1677,intron,0.544976,235,0.325292,0.188963,0.218919,0.266826,0.316059,1.000000,0.050556,0.105012,0.317468,0.078255
1678,intron,1.604457,856,0.313688,0.206646,0.222511,0.257155,0.286912,1.000000,0.052966,0.131315,0.301975,0.098759
1679,intron,4.712787,525,0.298067,0.191074,0.201262,0.309597,0.287970,1.000000,0.045883,0.111667,0.332503,0.077627
1680,intron,0.568012,409,0.320679,0.162171,0.201240,0.315910,0.313742,1.000000,0.048675,0.126989,0.265132,0.072176
1681,intron,0.462083,593,0.361788,0.150200,0.205878,0.282134,0.220200,1.000000,0.056599,0.137365,0.281420,0.097077
1682,intron,1.686951,1092,0.307220,0.178029,0.232134,0.282617,0.250599,1.000000,0.063773,0.123521,0.301090,0.073131
1683,intron,0.460827,1182,0.204903,0.250688,0.225089,0.319320,0.282582,1.000000,0.049845,0.135566,0.303962,0.059438
1684,intron,10.489374,433,0.258928,0.194244,0.247325,0.299503,0.237453,1.000000,0.050694,0.148902,0.333167,0.050570
1685,intron,1.793171,333,0.342815,0.196399,0.170767,0.290019,0.431101,1.000000,0.070086,0.114343,0.288845,0.079633
1686,intron,6.170091,748,0.314422,0.182221,0.190239,0.313118,0.237968,1.000000,0.044041,0.129852,0.306309,0.084494
1687,intron,0.120001,404,0.270777,0.162364,0.198048,0.368812,0.242400,1.000000,0.053412,0.123494,0.326428,0.076994
1688,intron,0.417461,575,0.248908,0.190206,0.287832,0.273054,0.240719,1.000000,0.041969,0.124972,0.318095,0.085672
1689,intron,4.015813,391,0.256792,0.179979,0.255457,0.307772,0.189472,1.000000,0.048137,0.119405,0.300374,0.069098
1690,intron,3.814564,403,0.288805,0.164496,0.221763,0.324936,0.307094,1.000000,0.044247,0.131618,0.287068,0.082766
1691,intron,6.605017,631,0.276571,0.173329,0.210241,0.339859,0.257353,1.000000,0.038357,0.117526,0.357611,0.084898
1692,intron,0.750636,371,0.232409,0.200245,0.246156,0.321191,0.391703,1.000000,0.044572,0.124783,0.273576,0.079243
1693,intron,0.042373,668,0.292421,0.204431,0.194972,0.308176,0.195365,1.000000,0.031845,0.139494,0.315800,0.074013
1694,intron,4.891060,310,0.282943,0.165687,0.218819,0.332550,0.493314,1.000000,0.063517,0.104200,0.337512,0.108049
1695,intron,0.702256,329,0.262155,0.189253,0.182116,0.366476,0.182226,1.000000,0.052637,0.111783,0.307020,0.067360
1696,intron,1.691644,402,0.298232,0.172659,0.212650,0.316459,0.251410,1.000000,0.069408,0.103578,0.301095,0.082225
1697,intron,0.642497,908,0.309524,0.163889,0.225427,0.301160,0.267652,1.000000,0.048407,0.138116,0.315417,0.072761
1698,intron,1.161131,458,0.299010,0.143785,0.202051,0.355153,0.288394,1.000000,0.054736,0.117052,0.299229,0.067772
1699,intron,2.894949,460,0.302694,0.187594,0.201991,0.307721,0.295294,1.000000,0.070549,0.130738,0.272622,0.086775
1700,intron,0.959025,541,0.262121,0.208127,0.177670,0.352082,0.254868,1.000000,0.049268,0.124003,0.353739,0.067718
1701,intron,0.070672,305,0.254398,0.177901,0.230412,0.337289,0.332286,1.000000,0.050567,0.081171,0.268421,0.089015
1702,intron,1.060121,2107,0.316620,0.136726,0.239687,0.306966,0.347982,1.000000,0.059835,0.128407,0.329944,0.092305
1703,intron,0.170121,299,0.257263,0.162136,0.277841,0.302761,0.265452,1.000000,0.050220,0.117305,0.345786,0.078351
1704,intron,0.274644,479,0.331998,0.181244,0.164244,0.322514,0.263093,1.000000,0.073741,0.136592,0.289320,0.061073
1705,intron,2.089088,625,0.279843,0.156574,0.234939,0.328644,0.212434,1.000000,0.053769,0.143333,0.299860,0.068780
1706,intron,0.041575,1114,0.279216,0.202881,0.183060,0.334843,0.368682,1.000000,0.043979,0.109515,0.351506,0.095899
1707,intron,0.577925,437,0.246446,0.188116,0.192839,0.372600,0.300819,1.000000,0.067729,0.116125,0.293059,0.076270
1708,intron,0.832567,767,0.240928,0.233102,0.242257,0.283714,0.304534,1.000000,0.045782,0.120390,0.319330,0.067780
1709,intron,14.257495,481,0.266369,0.176787,0.203129,0.353715,0.288730,1.000000,0.040139,0.138480,0.341306,0.053995
1710,intron,7.960368,594,0.292519,0.182663,0.162096,0.362723,0.276870,1.000000,0.059933,0.081475,0.356488,0.061621
1711,intron,2.086382,586,0.308510,0.200923,0.228528,0.262040,0.349488,1.000000,0.061821,0.107219,0.322416,0.072666
1712,intron,0.246024,716,0.265579,0.173912,0.198349,0.362160,0.251436,1.000000,0.042316,0.144242,0.290474,0.083166
1713,intron,0.832378,362,0.296714,0.176280,0.199238,0.327769,0.199963,1.000000,0.058571,0.092426,0.354231,0.068864
1714,intron,2.014444,353,0.315753,0.216701,0.173905,0.293642,0.285113,1.000000,0.035923,0.151546,0.316215,0.080621
1715,intron,4.663613,371,0.273507,0.217548,0.152998,0.355948,0.217358,1.000000,0.036470,0.128350,0.310742,0.082964
1716,intron,0.375171,895,0.311882,0.178791,0.205311,0.304015,0.254502,1.000000,0.056624,0.180990,0.268981,0.067801
1717,intron,1.923425,844,0.298430,0.196804,0.197976,0.306790,0.228762,1.000000,0.046251,0.112582,0.303222,0.062987
1718,intron,2.233798,287,0.282769,0.229671,0.187713,0.299847,0.297715,1.000000,0.036243,0.119295,0.334846,0.093972
1719,intron,4.179713,268,0.355548,0.167705,0.182869,0.293878,0.324912,1.000000,0.051593,0.122602,0.307534,0.061451
1720,intron,5.266073,687,0.281249,0.199902,0.242041,0.276808,0.298992,1.000000,0.066443,0.106312,0.302133,0.071860
1721,intron,2.255766,464,0.230891,0.213977,0.222547,0.332586,0.264575,1.000000,0.051860,0.123369,0.251747,0.097345
1722,intron,0.008937,732,0.296746,0.218068,0.192318,0.292868,0.336313,1.000000,0.047775,0.120043,0.316886,0.072996
1723,intron,0.171087,938,0.280354,0.137485,0.238838,0.343324,0.279492,1.000000,0.058105,0.101292,0.299536,0.068208
1724,intron,0.455391,728,0.254371,0.248062,0.206474,0.291093,0.256968,1.000000,0.071642,0.103945,0.296870,0.066674
1725,intron,3.791768,612,0.215359,0.187297,0.247398,0.349947,0.324606,1.000000,0.042199,0.126608,0.342973,0.059981
1726,intron,0.882642,545,0.300460,0.176242,0.194634,0.328664,0.294168,1.000000,0.044596,0.103514,0.303914,0.091024
1727,intron,1.854248,436,0.257955,0.182905,0.245438,0.313701,0.332329,1.000000,0.053043,0.144887,0.307733,0.078263
1728,intron,11.005617,1196,0.214612,0.214251,0.217522,0.353616,0.228232,1.000000,0.072250,0.120169,0.332633,0.049557
1729,intron,0.650741,345,0.275425,0.199948,0.227598,0.297029,0.308789,1.000000,0.054512,0.119685,0.286013,0.097452
1730,intron,5.569263,762,0.321604,0.182608,0.221137,0.274650,0.292218,1.000000,0.041759,0.126780,0.375777,0.075042
1731,intron,3.011891,550,0.278170,0.245782,0.204976,0.271072,0.242120,1.000000,0.034054,0.127464,0.335253,0.052534
1732,intron,0.223686,445,0.269546,0.177010,0.215667,0.337777,0.270305,1.000000,0.042233,0.156232,0.332160,0.060830
1733,intron,0.608111,1058,0.297878,0.178205,0.186811,0.337106,0.239326,1.000000,0.046062,0.115450,0.341802,0.076733
1734,intron,0.621590,1003,0.235958,0.174009,0.218699,0.371333,0.371437,1.000000,0.062763,0.120711,0.287111,0.071355
1735,intron,0.219284,1248,0.258317,0.220339,0.237690,0.283654,0.313952,1.000000,0.067454,0.135231,0.303830,0.095573
1736,intron,0.390326,724,0.259147,0.250426,0.213428,0.276999,0.258181,1.000000,0.045490,0.148228,0.274792,0.087334
1737,intron,2.468312,521,0.287135,0.165351,0.179719,0.367794,0.260720,1.000000,0.074983,0.127117,0.248311,0.086173
1738,intron,4.623181,689,0.272915,0.200204,0.221663,0.305219,0.217959,1.000000,0.042587,0.095380,0.363903,0.076567
1739,intron,0.290377,323,0.241122,0.192448,0.224966,0.341464,0.255573,1.000000,0.043756,0.115720,0.298683,0.087231
1740,intron,0.447584,299,0.265805,0.192020,0.240747,0.301428,0.275492,1.000000,0.072108,0.098875,0.281750,0.070166
1741,intron,1.975808,509,0.292357,0.195896,0.206760,0.304986,0.253711,1.000000,0.039062,0.122312,0.337802,0.073312
1742,intron,7.301805,504,0.342878,0.174769,0.196617,0.285737,0.326217,1.000000,0.069131,0.123125,0.320398,0.078151
1743,intron,12.196172,509,0.296229,0.177635,0.226841,0.299295,0.365250,1.000000,0.047953,0.141168,0.311544,0.083594
1744,intron,0.455566,749,0.291755,0.187991,0.203160,0.317094,0.287079,1.000000,0.064923,0.123441,0.311933,0.077649
1745,intron,5.386268,992,0.274494,0.155218,0.208799,0.361489,0.271809,1.000000,0.060126,0.125149,0.287378,0.076086
1746,intron,0.796978,395,0.297277,0.214324,0.221397,0.267001,0.297595,1.000000,0.041772,0.129395,0.343562,0.079372
1747,intron,0.709378,1139,0.272105,0.199368,0.169715,0.358812,0.291661,1.000000,0.052701,0.110318,0.301719,0.068251
1748,intron,0.492011,900,0.249072,0.282825,0.193084,0.275020,0.387330,1.000000,0.068032,0.106785,0.319214,0.072619
1749,intron,2.529988,930,0.364330,0.203866,0.175517,0.256287,0.228627,1.000000,0.046802,0.129104,0.338421,0.065517
1750,intron,3.922814,650,0.302781,0.195272,0.255228,0.246720,0.300127,1.000000,0.042783,0.149543,0.312084,0.068101
1751,intron,0.300253,475,0.280852,0.181096,0.182885,0.355168,0.316071,1.000000,0.037366,0.142846,0.351366,0.062626
1752,intron,3.458754,659,0.271402,0.213564,0.235449,0.279586,0.273892,1.000000,0.040710,0.113113,0.335606,0.098783
1753,intron,11.970954,847,0.268960,0.165691,0.186286,0.379063,0.252991,1.000000,0.043184,0.086912,0.335631,0.075562
1754,intron,0.768907,1007,0.289880,0.191272,0.195420,0.323427,0.252202,1.000000,0.047168,0.130635,0.303895,0.077506
1755,intron,7.976983,696,0.212279,0.210753,0.255790,0.321177,0.305408,1.000000,0.049535,0.157197,0.293337,0.053518
1756,intron,1.437825,518,0.245565,0.149951,0.309337,0.295146,0.294568,1.000000,0.047424,0.127752,0.309145,0.048449
1757,intron,8.159612,459,0.297392,0.199009,0.181508,0.322091,0.253200,1.000000,0.034000,0.139504,0.273832,0.088223
1758,intron,0.417505,937,0.276052,0.172260,0.233610,0.318079,0.278448,1.000000,0.038667,0.150046,0.293799,0.060830
1759,intron,1.460118,254,0.231715,0.216594,0.199269,0.352422,0.202731,1.000000,0.045718,0.105419,0.298797,0.070683
1760,intron,0.016527,813,0.246995,0.203345,0.202651,0.347010,0.219386,1.000000,0.047739,0.148671,0.295835,0.074965
1761,intron,5.382797,977,0.291941,0.208588,0.243525,0.255945,0.353244,1.000000,0.051092,0.133060,0.285288,0.086407
1762,intron,2.199544,468,0.241550,0.169156,0.239639,0.349656,0.228701,1.000000,0.051901,0.143919,0.317281,0.075381
1763,intron,3.251131,385,0.275924,0.202670,0.260403,0.261003,0.282056,1.000000,0.029424,0.121132,0.317644,0.077332
1764,intron,1.302034,441,0.269708,0.215282,0.198499,0.316511,0.395420,1.000000,0.069736,0.110518,0.291481,0.078471
1765,intron,3.171127,629,0.318148,0.147994,0.218485,0.315373,0.200754,1.000000,0.042729,0.112873,0.325112,0.070445
1766,intron,0.259070,1580,0.290553,0.185709,0.177715,0.346022,0.217709,1.000000,0.055857,0.146923,0.284684,0.063640
1767,intron,1.930475,695,0.280646,0.187089,0.245732,0.286532,0.365782,1.000000,0.060069,0.126005,0.293881,0.064864
1768,intron,5.295272,1218,0.305644,0.169481,0.140372,0.384502,0.287019,1.000000,0.068040,0.109142,0.302670,0.069896
1769,intron,2.783599,939,0.296319,0.161263,0.251423,0.290995,0.241205,1.000000,0.056788,0.128227,0.307700,0.066797
1770,intron,1.551511,720,0.343213,0.166321,0.237603,0.252863,0.319078,1.000000,0.047860,0.127882,0.276692,0.071614
1771,intron,0.792767,375,0.247856,0.183421,0.259384,0.309339,0.364937,1.000000,0.059282,0.088015,0.333382,0.070261
1772,intron,10.125822,602,0.276649,0.166171,0.239452,0.317728,0.352595,1.000000,0.063756,0.129663,0.339209,0.051120
1773,intron,0.507871,866,0.287394,0.195512,0.228107,0.288987,0.283947,1.000000,0.053808,0.114304,0.290842,0.067780
1774,intron,1.667853,593,0.281485,0.178871,0.176432,0.363213,0.239023,1.000000,0.058488,0.133917,0.329221,0.073152
1775,intron,0.361374,299,0.281042,0.201187,0.190046,0.327724,0.227451,1.000000,0.049194,0.132833,0.324082,0.061356
1776,intron,5.327941,798,0.267738,0.208535,0.204496,0.319231,0.299148,1.000000,0.056660,0.139276,0.284999,0.077923
1777,intron,7.464780,411,0.236316,0.132196,0.245398,0.386090,0.286920,1.000000,0.036721,0.132539,0.333797,0.075771
1778,intron,2.014174,584,0.259390,0.182932,0.226390,0.331288,0.269020,1.000000,0.061821,0.106913,0.267996,0.093175
1779,intron,0.532840,916,0.240408,0.170634,0.275497,0.313462,0.317969,1.000000,0.068470,0.144117,0.320276,0.060416
1780,intron,3.010029,715,0.306631,0.162386,0.250207,0.280777,0.255377,1.000000,0.040089,0.138930,0.291978,0.074303
1781,intron,7.931036,292,0.227657,0.199657,0.236512,0.336174,0.270586,1.000000,0.062531,0.119871,0.283795,0.062529
1782,intron,3.958902,896,0.248987,0.199696,0.244332,0.306986,0.298424,1.000000,0.054033,0.122316,0.282556,0.081409
1783,intron,4.029470,242,0.317404,0.215153,0.192352,0.275091,0.207141,1.000000,0.039772,0.139480,0.303313,0.059786
1784,intron,0.360068,319,0.294445,0.213194,0.238167,0.254194,0.253903,1.000000,0.051227,0.110092,0.295791,0.060232
1785,intron,4.043575,816,0.309067,0.172147,0.214518,0.304268,0.223638,1.000000,0.065803,0.170563,0.320838,0.058572
1786,intron,0.835522,283,0.282438,0.196079,0.211054,0.310429,0.292387,1.000000,0.073015,0.108667,0.335864,0.078931
1787,intron,0.575869,709,0.257495,0.192525,0.233702,0.316278,0.213512,1.000000,0.045244,0.118253,0.307434,0.069593
1788,intron,4.450179,939,0.261133,0.201473,0.243061,0.294333,0.267470,1.000000,0.062865,0.127083,0.291992,0.066959
1789,intron,1.228524,793,0.303585,0.175784,0.173268,0.347363,0.404132,1.000000,0.042272,0.136825,0.315550,0.069617
1790,intron,0.370729,463,0.313107,0.223423,0.182942,0.280528,0.282038,1.000000,0.038301,0.115313,0.312913,0.065653
1791,intron,0.308503,880,0.279256,0.229844,0.223740,0.267160,0.212202,1.000000,0.044826,0.149560,0.342090,0.052990
1792,intron,0.332125,1216,0.302667,0.162675,0.198337,0.336320,0.262602,1.000000,0.027069,0.130610,0.286100,0.062536
1793,intron,2.493326,1045,0.307483,0.181955,0.227810,0.282751,0.281074,1.000000,0.045888,0.115168,0.275820,0.078498
1794,intron,2.186810,304,0.286856,0.185307,0.255244,0.272592,0.215882,1.000000,0.062263,0.132268,0.274092,0.083044
1795,intron,2.144463,852,0.328253,0.165009,0.179874,0.326864,0.260979,1.000000,0.054615,0.125579,0.317817,0.058753
1796,intron,1.045956,750,0.295008,0.197326,0.192694,0.314972,0.296195,1.000000,0.063950,0.134209,0.302711,0.087012
1797,intron,9.074090,1086,0.249368,0.225141,0.209696,0.315795,0.264125,1.000000,0.064205,0.091949,0.332828,0.088290
1798,intron,2.156876,1490,0.294154,0.195459,0.178704,0.331683,0.288400,1.000000,0.047873,0.128299,0.319139,0.066801
1799,intron,0.274928,1190,0.219912,0.184224,0.250950,0.344914,0.263580,1.000000,0.055354,0.120702,0.328890,0.060634
1800,intron,1.061685,444,0.243942,0.231129,0.232390,0.292539,0.294409,1.000000,0.054402,0.131534,0.304230,0.095851
1801,intron,0.951291,851,0.248578,0.158228,0.221013,0.372181,0.306612,1.000000,0.062918,0.129318,0.306925,0.070580
1802,intron,6.419379,596,0.262780,0.205561,0.200712,0.330947,0.269059,1.000000,0.037192,0.122855,0.307436,0.055426
1803,intron,4.274400,317,0.254396,0.188193,0.210990,0.346421,0.350347,1.000000,0.057003,0.148439,0.294203,0.055900
1804,intron,0.845165,637,0.310151,0.191266,0.208097,0.290487,0.295052,1.000000,0.050226,0.093142,0.353776,0.102135
1805,intron,1.008042,1536,0.326019,0.172819,0.202592,0.298569,0.271090,1.000000,0.043564,0.126989,0.324810,0.081060
1806,intron,0.603270,699,0.260257,0.185564,0.250380,0.303799,0.268552,1.000000,0.070709,0.125535,0.354412,0.059194
1807,intron,0.335488,323,0.258829,0.214733,0.191106,0.335332,0.392918,1.000000,0.051510,0.122874,0.300006,0.083976
1808,intron,2.641312,364,0.272844,0.247074,0.236931,0.243152,0.339371,1.000000,0.053972,0.122817,0.294661,0.071966
1809,intron,11.743166,615,0.283803,0.184370,0.189352,0.342475,0.271935,1.000000,0.055262,0.142767,0.311738,0.063803
1810,intron,3.601449,343,0.240150,0.167373,0.263804,0.328672,0.296726,1.000000,0.058644,0.138279,0.300197,0.073353
1811,intron,0.128441,272,0.302854,0.145196,0.199475,0.352476,0.317154,1.000000,0.056067,0.143323,0.307822,0.059651
1812,intron,3.832827,382,0.241772,0.187092,0.232084,0.339051,0.194308,1.000000,0.031102,0.143310,0.338330,0.076421
1813,intron,14.247957,1223,0.348700,0.150619,0.211397,0.289284,0.299220,1.000000,0.056366,0.138672,0.294343,0.078462
1814,intron,2.508142,478,0.258776,0.193444,0.234681,0.313098,0.245742,1.000000,0.054046,0.177023,0.288000,0.062414
1815,intron,3.808318,483,0.289458,0.211353,0.251534,0.247656,0.258703,1.000000,0.057667,0.138385,0.361468,0.057932
1816,intron,0.083444,331,0.227498,0.181614,0.251301,0.339586,0.209964,1.000000,0.051502,0.128750,0.311581,0.071627
1817,intron,1.834155,1519,0.273579,0.212542,0.242494,0.271385,0.278097,1.000000,0.054279,0.105125,0.290723,0.086257
1818,intron,0.407109,424,0.299927,0.171922,0.208947,0.319203,0.284291,1.000000,0.058808,0.133478,0.296583,0.064211
1819,intron,3.181219,635,0.319685,0.157774,0.179493,0.343048,0.234523,1.000000,0.043061,0.105334,0.330758,0.069750
1820,intron,1.646225,944,0.276738,0.135082,0.237515,0.350665,0.250935,1.000000,0.053914,0.134178,0.287429,0.082506
1821,intron,1.074190,580,0.258711,0.173566,0.233647,0.334076,0.251085,1.000000,0.047227,0.135451,0.299073,0.073297
1822,intron,0.133484,451,0.317003,0.143296,0.203800,0.335900,0.264842,1.000000,0.038846,0.130102,0.316350,0.076726
1823,intron,5.998494,862,0.289241,0.203752,0.185825,0.321182,0.195255,1.000000,0.051150,0.119285,0.306557,0.092116
1824,intron,0.775424,614,0.260486,0.121253,0.237501,0.380760,0.261822,1.000000,0.031571,0.131196,0.316889,0.045478
1825,intron,1.278847,364,0.263437,0.195512,0.263814,0.277237,0.320094,1.000000,0.065912,0.121231,0.249172,0.069095
1826,intron,1.373279,459,0.270274,0.192902,0.248841,0.287983,0.257524,1.000000,0.058408,0.165820,0.245034,0.095136
1827,intron,0.723287,671,0.252262,0.169590,0.243707,0.334440,0.231583,1.000000,0.075036,0.118975,0.275496,0.089442
1828,intron,6.541369,713,0.312907,0.220515,0.171457,0.295121,0.334778,1.000000,0.048795,0.114678,0.330388,0.076586
1829,intron,1.041589,312,0.256890,0.225579,0.198610,0.318921,0.273396,1.000000,0.039373,0.135923,0.325262,0.071982
1830,intron,0.462542,2017,0.262137,0.205606,0.214748,0.317508,0.257636,1.000000,0.054797,0.114728,0.312219,0.071166
1831,intron,0.505540,829,0.296627,0.179782,0.188178,0.335413,0.335111,1.000000,0.054819,0.122778,0.334456,0.072445
1832,intron,6.309358,856,0.298909,0.210856,0.178890,0.311345,0.224529,1.000000,0.046416,0.119270,0.317662,0.082165
1833,intron,1.493550,555,0.288233,0.192941,0.210560,0.308266,0.290490,1.000000,0.063415,0.120191,0.367400,0.059523
1834,intron,0.648823,485,0.270234,0.173725,0.249070,0.306971,0.217710,1.000000,0.081295,0.106113,0.329127,0.074651
1835,intron,1.142811,780,0.262587,0.167151,0.226579,0.343683,0.237733,1.000000,0.037944,0.108259,0.322277,0.076979
1836,intron,1.053745,454,0.281666,0.192203,0.189386,0.336746,0.244887,1.000000,0.044557,0.108439,0.316997,0.081808
1837,intron,2.395754,356,0.245808,0.203703,0.234543,0.315946,0.280795,1.000000,0.055254,0.117772,0.294264,0.068240
1838,intron,1.803506,438,0.331541,0.165831,0.200572,0.302057,0.295732,1.000000,0.048317,0.116968,0.316637,0.061255
1839,intron,2.025010,1224,0.333368,0.166977,0.200009,0.299647,0.397139,1.000000,0.047051,0.161703,0.333759,0.067700
1840,intron,2.784907,949,0.224322,0.214548,0.219473,0.341657,0.226171,1.000000,0.040736,0.131537,0.351970,0.096449
1841,intron,1.604021,1373,0.284605,0.235752,0.166874,0.312769,0.344524,1.000000,0.037246,0.143060,0.326689,0.086115
1842,intron,0.683169,1494,0.279575,0.226398,0.217913,0.276114,0.260235,1.000000,0.056062,0.130445,0.341029,0.071576
1843,intron,4.100907,1486,0.295151,0.184429,0.219177,0.301243,0.265774,1.000000,0.064797,0.110470,0.348777,0.072943
1844,intron,0.923452,467,0.252534,0.163165,0.198171,0.386129,0.186705,1.000000,0.036618,0.120000,0.322932,0.066446
1845,intron,1.505622,1450,0.258399,0.196218,0.243580,0.301803,0.282646,1.000000,0.050290,0.137975,0.309895,0.082585
1846,intron,0.064269,1419,0.307288,0.169396,0.185218,0.338098,0.299869,1.000000,0.050513,0.134725,0.294267,0.073508
1847,intron,4.688590,1490,0.285185,0.250474,0.190856,0.273485,0.338453,1.000000,0.033089,0.095046,0.338419,0.080506
